OBJECTID,Point,E,N,Elevation,Code,OldPoint,DetectM34,Delete_
1,50700,2806340.139956131577492,1266540.500000000000000,7460.449999999999818,PITRCK,,,
2,50701,2806340.099929973483086,1266546.659999999916181,7458.859999999999673,PITRCK,,,
3,50702,2806337.519882634282112,1266553.090000000083819,7458.359999999999673,PITRCK,,,
4,50703,2806064.460061296820641,1266520.040000000037253,7456.989999999999782,PITRCK,,,
5,50705,2806331.510052144527435,1266566.219999999972060,7459.220000000000255,PITRCK,,,
6,50707,2806333.539903715252876,1266578.159999999916181,7459.800000000000182,PITRCK,,,
7,50708,2806329.099951967597008,1266581.429999999934807,7459.039999999999964,PITRCK,,,
8,50709,2806313.680035308003426,1266585.800000000046566,7458.569999999999709,PITRCK,,,
9,50710,2806334.900137215852737,1266594.600000000093132,7459.319999999999709,PITRCK,,,
10,50711,2805607.379938721656799,1266527.709999999962747,7458.550000000000182,PITRCK,,,
11,50712,2806332.459853380918503,1266607.760000000009313,7459.039999999999964,PITRCK,,,
12,50713,2806326.639983132481575,1266611.820000000065193,7459.189999999999600,PITRCK,,,
13,50714,2806330.479870468378067,1266620.689999999944121,7459.880000000000109,PITRCK,,,
14,50716,2806208.900061130523682,1266599.189999999944121,7457.989999999999782,PITRCK,,,
15,50717,2806267.419957220554352,1266622.439999999944121,7458.229999999999563,PITRCK,,,
16,50718,2806329.189846798777580,1266654.050000000046566,7459.409999999999854,PITRCK,,,
17,50720,2806314.039942726492882,1266538.659999999916181,7459.670000000000073,PITRCK,,,
18,50721,2805553.360033631324768,1266496.739999999990687,7456.779999999999745,PITRCK,,,
19,50722,2806307.530113220214844,1266549.879999999888241,7458.409999999999854,PITRCK,,,
20,50723,2806120.470119893550873,1266531.199999999953434,7456.949999999999818,PITRCK,,,
21,50724,2806309.050123304128647,1266556.830000000074506,7458.579999999999927,PITRCK,,,
22,50728,2806304.340158969163895,1266592.520000000018626,7459.039999999999964,PITRCK,,,
23,50729,2806311.780104726552963,1266599.719999999972060,7459.970000000000255,PITRCK,,,
24,50731,2806271.740158557891846,1266620.929999999934807,7458.640000000000327,PITRCK,,,
25,50733,2806304.169883728027344,1266626.229999999981374,7458.760000000000218,PITRCK,,,
26,50734,2806259.680143311619759,1266616.590000000083819,7458.539999999999964,PITRCK,,,
27,50736,2806293.140050143003464,1266643.030000000027940,7457.920000000000073,PITRCK,,,
28,50737,2806303.720081478357315,1266653.399999999906868,7458.989999999999782,PITRCK,,,
29,50738,2806300.459917381405830,1266660.129999999888241,7459.170000000000073,PITRCK,,,
30,50739,2806108.229986891150475,1266588.919999999925494,7457.350000000000364,PITRCK,,,
31,50740,2806299.789971217513084,1266541.679999999934807,7459.029999999999745,PITRCK,,,
32,50741,2806214.340010881423950,1266536.209999999962747,7458.039999999999964,PITRCK,,,
33,50743,2806297.479936465620995,1266560.379999999888241,7458.350000000000364,PITRCK,,,
34,50744,2806285.990130051970482,1266569.030000000027940,7458.810000000000400,PITRCK,,,
35,50746,2806293.350023478269577,1266584.560000000055879,7458.779999999999745,PITRCK,,,
36,50747,2806293.319839805364609,1266594.050000000046566,7458.460000000000036,PITRCK,,,
37,50748,2806286.339866891503334,1266599.030000000027940,7458.640000000000327,PITRCK,,,
38,50749,2806210.429913714528084,1266582.810000000055879,7457.869999999999891,PITRCK,,,
39,50750,2806289.870043560862541,1266613.280000000027940,7459.050000000000182,PITRCK,,,
40,50751,2806289.289992228150368,1266621.850000000093132,7458.289999999999964,PITRCK,,,
41,50752,2806136.200075298547745,1266595.639999999897555,7457.810000000000400,PITRCK,,,
42,50753,2806264.560054808855057,1266618.600000000093132,7458.060000000000400,PITRCK,,,
43,50754,2806283.030162215232849,1266635.399999999906868,7458.310000000000400,PITRCK,,,
44,50755,2806288.379889056086540,1266646.219999999972060,7458.260000000000218,PITRCK,,,
45,50756,2806287.530153214931488,1266650.050000000046566,7458.500000000000000,PITRCK,,,
46,50757,2806288.459941387176514,1266654.979999999981374,7458.760000000000218,PITRCK,,,
47,50758,2806286.229958966374397,1266658.830000000074506,7459.090000000000146,PITRCK,,,
48,50759,2806287.589864388108253,1266662.989999999990687,7459.130000000000109,PITRCK,,,
49,50760,2806252.299908727407455,1266533.709999999962747,7458.689999999999600,PITRCK,,,
50,50761,2806257.649963632225990,1266537.949999999953434,7458.859999999999673,PITRCK,,,
51,50762,2806257.600094974040985,1266542.290000000037253,7458.750000000000000,PITRCK,,,
52,50763,2806145.879845976829529,1266538.000000000000000,7457.229999999999563,PITRCK,,,
53,50764,2805477.289975807070732,1266522.219999999972060,7456.760000000000218,PITRCK,,,
54,50765,2806253.370116561651230,1266559.989999999990687,7459.289999999999964,PITRCK,,,
55,50766,2806218.869857475161552,1266564.699999999953434,7458.079999999999927,PITRCK,,,
56,50767,2806165.979871392250061,1266560.530000000027940,7457.300000000000182,PITRCK,,,
57,50768,2806251.100107967853546,1266580.449999999953434,7458.390000000000327,PITRCK,,,
58,50769,2806247.509892061352730,1266581.610000000102445,7458.409999999999854,PITRCK,,,
59,50771,2806247.929838716983795,1266595.679999999934807,7458.430000000000291,PITRCK,,,
60,50772,2806246.600116968154907,1266603.300000000046566,7458.350000000000364,PITRCK,,,
61,50773,2806174.619945973157883,1266583.810000000055879,7457.479999999999563,PITRCK,,,
62,50774,2806241.529917135834694,1266614.699999999953434,7458.130000000000109,PITRCK,,,
63,50775,2806244.940015301108360,1266622.080000000074506,7458.600000000000364,PITRCK,,,
64,50777,2806210.909899637103081,1266615.959999999962747,7458.460000000000036,PITRCK,,,
65,50779,2806059.040124639868736,1266586.429999999934807,7457.590000000000146,PITRCK,,,
66,50780,2806239.480052471160889,1266524.649999999906868,7459.350000000000364,PITRCK,,,
67,50781,2806022.639934971928596,1266526.229999999981374,7457.300000000000182,PITRCK,,,
68,50782,2806237.310109302401543,1266539.629999999888241,7458.609999999999673,PITRCK,,,
69,50783,2806219.929894715547562,1266543.520000000018626,7458.039999999999964,PITRCK,,,
70,50784,2806232.339974880218506,1266549.840000000083819,7458.510000000000218,PITRCK,,,
71,50787,2806229.719901382923126,1266567.870000000111759,7458.619999999999891,PITRCK,,,
72,50788,2806223.659874141216278,1266572.530000000027940,7458.399999999999636,PITRCK,,,
73,50790,2806229.900019139051437,1266586.209999999962747,7457.939999999999600,PITRCK,,,
74,50791,2806216.659888133406639,1266594.290000000037253,7457.659999999999854,PITRCK,,,
75,50792,2806227.339984893798828,1266601.469999999972060,7457.890000000000327,PITRCK,,,
76,50793,2806225.420041218400002,1266607.870000000111759,7458.569999999999709,PITRCK,,,
77,50795,2806219.400040134787560,1266616.719999999972060,7458.170000000000073,PITRCK,,,
78,50797,2806221.940061300992966,1266628.969999999972060,7458.399999999999636,PITRCK,,,
79,50799,2806148.919866144657135,1266610.840000000083819,7458.489999999999782,PITRCK,,,
80,50800,2804575.759954720735550,1266602.810000000055879,7454.970000000000255,PITRCK,,,
81,50801,2803567.139924719929695,1266622.979999999981374,7448.449999999999818,PITRCK,,,
82,50802,2804567.279984802007675,1266592.780000000027940,7454.539999999999964,PITRCK,,,
83,50804,2803117.770088553428650,1266475.199999999953434,7448.699999999999818,PITRCK,,,
84,50805,2804614.439995467662811,1266585.850000000093132,7454.829999999999927,PITRCK,,,
85,50807,2803614.739895135164261,1266656.689999999944121,7448.449999999999818,PITRCK,,,
86,50811,2804626.500010713934898,1266556.360000000102445,7456.210000000000036,PITRCK,,,
87,50812,2804604.580107048153877,1266552.810000000055879,7456.020000000000437,PITRCK,,,
88,50814,2804603.929845884442329,1266563.639999999897555,7455.430000000000291,PITRCK,,,
89,50817,2803790.370121300220490,1266665.659999999916181,7448.770000000000437,PITRCK,,,
90,50818,2804600.250063225626945,1266586.929999999934807,7454.750000000000000,PITRCK,,,
91,50819,2803784.890145391225815,1266659.780000000027940,7448.760000000000218,PITRCK,,,
92,50821,2804578.319988965988159,1266600.870000000111759,7455.069999999999709,PITRCK,,,
93,50822,2804452.069913387298584,1266569.659999999916181,7453.420000000000073,PITRCK,,,
94,50823,2803326.649920135736465,1266565.479999999981374,7448.930000000000291,PITRCK,,,
95,50825,2804573.739945635199547,1266610.260000000009313,7455.300000000000182,PITRCK,,,
96,50826,2803866.439851060509682,1266671.169999999925494,7450.329999999999927,PITRCK,,,
97,50827,2804554.820035964250565,1266592.030000000027940,7454.489999999999782,PITRCK,,,
98,50828,2804572.599856048822403,1266594.149999999906868,7455.319999999999709,PITRCK,,,
99,50829,2804564.739963635802269,1266582.149999999906868,7454.460000000000036,PITRCK,,,
100,50830,2803112.080139309167862,1266390.120000000111759,7449.050000000000182,PITRCK,,,
101,50832,2804543.240006640553474,1266564.090000000083819,7454.439999999999600,PITRCK,,,
102,50835,2803959.020046472549438,1266624.540000000037253,7451.710000000000036,PITRCK,,,
103,50836,2804576.889873728156090,1266551.260000000009313,7455.329999999999927,PITRCK,,,
104,50837,2804509.879837140440941,1266596.250000000000000,7455.800000000000182,PITRCK,,,
105,50839,2804519.619975134730339,1266585.129999999888241,7454.819999999999709,PITRCK,,,
106,50840,2803868.539912477135658,1266660.739999999990687,7450.529999999999745,PITRCK,,,
107,50843,2804524.999885633587837,1266563.080000000074506,7454.069999999999709,PITRCK,,,
108,50844,2803657.669927388429642,1266626.270000000018626,7448.409999999999854,PITRCK,,,
109,50845,2804496.160048305988312,1266541.929999999934807,7453.210000000000036,PITRCK,,,
110,50847,2804489.979942560195923,1266541.909999999916181,7453.050000000000182,PITRCK,,,
111,50848,2803575.079869464039803,1266619.590000000083819,7448.390000000000327,PITRCK,,,
112,50849,2804515.430022880434990,1266536.010000000009313,7454.960000000000036,PITRCK,,,
113,50850,2804253.339995890855789,1266614.139999999897555,7453.750000000000000,PITRCK,,,
114,50851,2804251.339999884366989,1266610.419999999925494,7453.390000000000327,PITRCK,,,
115,50852,2804234.460112392902374,1266614.189999999944121,7453.750000000000000,PITRCK,,,
116,50853,2803768.790111973881721,1266651.139999999897555,7448.380000000000109,PITRCK,,,
117,50854,2803530.220051050186157,1266641.300000000046566,7448.569999999999709,PITRCK,,,
118,50855,2803790.850107222795486,1266630.840000000083819,7448.640000000000327,PITRCK,,,
119,50856,2803471.399958714842796,1266663.620000000111759,7449.000000000000000,PITRCK,,,
120,50857,2803807.479995220899582,1266652.939999999944121,7449.130000000000109,PITRCK,,,
121,50859,2803938.219891220331192,1266623.010000000009313,7451.329999999999927,PITRCK,,,
122,50862,2803694.349972143769264,1266666.419999999925494,7448.199999999999818,PITRCK,,,
123,50863,2803547.709845468401909,1266645.050000000046566,7448.619999999999891,PITRCK,,,
124,50865,2803825.979958221316338,1266657.840000000083819,7450.260000000000218,PITRCK,,,
125,50867,2803516.680051892995834,1266659.979999999981374,7448.310000000000400,PITRCK,,,
126,50868,2804146.519999548792839,1266631.659999999916181,7453.020000000000437,PITRCK,,,
127,50869,2803118.489903390407562,1266449.550000000046566,7449.779999999999745,PITRCK,,,
128,50871,2803754.710087642073631,1266647.000000000000000,7448.350000000000364,PITRCK,,,
129,50874,2803122.929855138063431,1266464.179999999934807,7448.760000000000218,PITRCK,,,
130,50875,2803145.469836309552193,1266458.169999999925494,7448.020000000000437,PITRCK,,,
131,50876,2804171.160042136907578,1266637.540000000037253,7453.500000000000000,PITRCK,,,
132,50878,2804190.459872305393219,1266621.469999999972060,7453.720000000000255,PITRCK,,,
133,50880,2803651.370071217417717,1266642.540000000037253,7448.569999999999709,PITRCK,,,
134,50883,2804003.550141140818596,1266655.929999999934807,7451.430000000000291,PITRCK,,,
135,50885,2803846.099996715784073,1266650.860000000102445,7450.050000000000182,PITRCK,,,
136,50887,2802849.200087636709213,1266239.100000000093132,7447.609999999999673,PITRCK,,,
137,50891,2803441.120163634419441,1266630.770000000018626,7448.289999999999964,PITRCK,,,
138,50893,2804144.990146964788437,1266630.250000000000000,7453.220000000000255,PITRCK,,,
139,50894,2803279.759922057390213,1266545.239999999990687,7448.899999999999636,PITRCK,,,
140,50895,2803780.609970226883888,1266640.030000000027940,7448.289999999999964,PITRCK,,,
141,50897,2803464.739867061376572,1266629.189999999944121,7448.199999999999818,PITRCK,,,
142,50899,2804171.329989299178123,1266643.080000000074506,7453.899999999999636,PITRCK,,,
143,50900,2805198.159956634044647,1266508.889999999897555,7457.850000000000364,PITRCK,,,
144,50901,2805209.210131391882896,1266503.729999999981374,7457.619999999999891,PITRCK,,,
145,50902,2805214.900080636143684,1266496.860000000102445,7457.630000000000109,PITRCK,,,
146,50903,2805192.019877061247826,1266516.489999999990687,7456.789999999999964,PITRCK,,,
147,50905,2805185.869954973459244,1266503.110000000102445,7457.689999999999600,PITRCK,,,
148,50906,2805177.860128477215767,1266497.939999999944121,7454.960000000000036,PITRCK,,,
149,50908,2805162.010094553232193,1266514.699999999953434,7456.899999999999636,PITRCK,,,
150,50909,2805158.399865552783012,1266509.750000000000000,7455.359999999999673,PITRCK,,,
151,50910,2804793.890095889568329,1266584.560000000055879,7454.109999999999673,PITRCK,,,
152,50912,2803750.730108723044395,1266647.379999999888241,7448.789999999999964,PITRCK,,,
153,50919,2803709.709849551320076,1266658.120000000111759,7448.369999999999891,PITRCK,,,
154,50920,2804135.549877136945724,1266641.110000000102445,7452.729999999999563,PITRCK,,,
155,50921,2804482.959943473339081,1266576.409999999916181,7454.210000000000036,PITRCK,,,
156,50922,2804657.030133381485939,1266599.669999999925494,7454.960000000000036,PITRCK,,,
157,50923,2802150.919988140463829,1268070.330000000074506,7545.329999999999927,20,,,
158,50924,2804584.389858722686768,1266590.949999999953434,7454.789999999999964,PITRCK,,,
159,50926,2804173.789958134293556,1266623.610000000102445,7452.779999999999745,PITRCK,,,
160,50928,2804367.670147806406021,1266553.379999999888241,7452.890000000000327,PITRCK,,,
161,50929,2804188.610138475894928,1266604.090000000083819,7452.920000000000073,PITRCK,,,
162,50939,2802889.920150548219681,1266288.080000000074506,7448.800000000000182,PITRCK,,,
163,50951,2803123.509906470775604,1266408.449999999953434,7448.729999999999563,PITRCK,,,
164,50952,2803478.229997560381889,1266595.340000000083819,7451.119999999999891,PITRCK,,,
165,50954,2803091.750127464532852,1266382.530000000027940,7448.810000000000400,PITRCK,,,
166,50956,2803095.779975056648254,1266397.800000000046566,7450.119999999999891,PITRCK,,,
167,50959,2803036.840132310986519,1266435.560000000055879,7449.170000000000073,PITRCK,,,
168,50962,2802562.450004965066910,1266085.260000000009313,7447.050000000000182,PITRCK,,,
169,50964,2802576.730160132050514,1266071.959999999962747,7447.390000000000327,PITRCK,,,
170,50966,2801639.259922221302986,1265852.350000000093132,7442.630000000000109,PITRCK,,,
171,50967,2802591.969959050416946,1266171.560000000055879,7449.029999999999745,PITRCK,,,
172,50971,2802011.819872632622719,1265835.479999999981374,7443.430000000000291,PITRCK,,,
173,50816,2802850.649887889623642,1266275.040000000037253,7448.649999999999636,PITRCK?,146502,,
174,50925,2802752.130071803927422,1266217.649999999906868,7445.319999999999709,PITRCK?,146503,,
175,50870,2802722.979867637157440,1266159.330000000074506,7447.489999999999782,PITRCK?,146504,,
188,50860,2803749.682210549712181,1266651.102831140160561,,PITRCK,,1,
189,50935,2803141.523649975657463,1266412.939265474677086,,PITRCK,,1,
190,50735,2806221.949575722217560,1266601.076684474945068,,PITRCK,,1,
192,50719,2805242.018136635422707,1266566.489811390638351,,PITRCK,,1,
193,50786,2806081.628005966544151,1266553.722448483109474,,PITRCK,,1,
194,50809,2804495.513067975640297,1266566.165993139147758,,PITRCK,,1,
195,50879,2803095.265212297439575,1266474.142227053642273,,PITRCK,,1,
196,50742,2806268.080717056989670,1266558.459315642714500,,PITRCK,,1,
197,50789,2806175.114695638418198,1266589.420867890119553,,PITRCK,,1,
198,50842,2803796.612890973687172,1266674.774699807167053,,PITRCK,,1,
199,50732,2806175.163251966238022,1266595.613440811634064,,PITRCK,,1,